date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
2023-10-31;outfit.0dcd9f8fa95a4d81a7bb43df05668e4d;Lace Burgundy Tunic;Gucci;Gunhild Stordalen;5 - Damaged;;1400;280.0;False
2023-05-15;outfit.0de0bdfd2b7446978b4acf5a593630ed;XS BROQUÉ Classic Army Crewneck;Cardsome;Cardsome;5 - Damaged;;1100;220.0;False
2023-09-15;outfit.0de869d31f424399b9c82775db98449d;Courtney Slip Under Dress;Riccovero;FJONG;5 - Damaged;;1100;220.0;False
2023-09-15;outfit.0e083ac25d7e42db96299b2528122198;Aqua Tristein Dress;ILAG;ILAG;5 - Damaged;;900;180.0;False
2023-12-12;outfit.0e3d1cd3cac34dc7bcacd5a9faa3a6be;XS Tearz Vanilla Ice White Shirt;FWSS;FWSS;5 - Damaged;;1000;200.0;False
2023-09-15;outfit.0e83d5951196473d9a5492ced2f485f5;Alice Paisley Dress Hydra Blue;Rodebjer;Rodebjer;4 - Minor defects;;2500;500.0;False
2023-05-15;outfit.0e8c1bed7cca467bbc7ddccdabfbe289;XS Dark Grey Mikine Skirt;Holzweiler;Holzweiler;4 - Minor defects;flekk på høyre arm, på underarmen;2500;600.0;False
2023-09-19;outfit.0e92130f6b144c8db776928ba4f0e01c;Faye Shoulder Dress Black;MagMaLou;MagMaLou;5 - Damaged;;900;180.0;False
2023-01-10;outfit.0ea83cb5b5ec47cf9644bc15f365caa4;1 Cameron Skirt;Ganni;Høyer;4 - Minor defects;Unremovable stains;1900;599.0;False
2023-01-10;outfit.0ec5b76f554546269b80b4688c32691c;Oda Denim Blouse;Urban Pioneers;Urban Pioneers;5 - Damaged;;2000;400.0;False
;outfit.0efb674998e64290b542673894e4bffe;XS Gloriosah Cream Blouse;By Malene Birger;Høyer;3 - Good condition;;2500;849.0;False
2024-01-25;outfit.0eaa358af14e469894062591bd42f38b;M1 Flashback Roulette Top;Ghospell;For Ynde;2 - Very good condition;;2100;600.0;False
2023-01-12;outfit.0f503415f7764ce49e9acd3de347cdaf;M Summer Crochet Dress White;Pia Tjelta byTiMo;FJONG;5 - Damaged;;1300;260.0;False
2023-09-19;outfit.0fa577c0f2a5456d9312b3507b4303c6;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;5 - Damaged;;1300;260.0;False
2024-01-25;outfit.100400d50acc42a4be7fe2f8e438f861;Bobbie Top;Diane von Furstenberg;FJONG;5 - Damaged;;900;180.0;False
2023-12-12;outfit.1009bfebb9ed4c86aeb46dd5584dd419;Chantal Blouse;Six Ámes;Ann-Kristin Asmus-Thorvaldsen;5 - Damaged;;1300;260.0;False
2023-09-19;outfit.100cfc2babe742dd92867d69ddf0936e;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;5 - Damaged;;1300;260.0;False
2022-09-22;outfit.1054e796a700461b91317a8c7e8197bd;S Sage Wrap Skirt;Yaya;For Ynde;4 - Minor defects;;8500;1700.0;False
;outfit.111c30e5fc104510b31cdd5e6cc676c8;M Stranda Skirt Yellow Stripe;Holzweiler;FJONG;3 - Good condition;;1400;280.0;False
;outfit.111aa3d2b67a4bfd8be45b0039bb5ed1;M Oda Jeans;Holzweiler;Holzweiler;5 - Damaged;Flekker bak på nakken. Synlig;2900;400.0;False
2023-10-31;outfit.114e772d2238442c909f9804c6d1c477;Misty Green Agave Dress;By Malene Birger;FJONG;4 - Minor defects;unremovable stains;3500;949.0;False
2023-06-15;outfit.117f18d4394a4b3fbbb4eb53aa38b25b;M Black Mika Hood;ella&il;Villoid;4 - Minor defects;reparerte hull nederst på benet. ;1800;450.0;True
;outfit.1181979d8cc24555b4bf0c91c7b70a2a;M Avalon Dress;Baum und Pferdgarten;Høyer;3 - Good condition;Wear and tear;3900;1299.0;False
2022-06-10;outfit.118f15046d0b45d48929bb91df474761;L Ellixa Night Blue Dress;By Malene Birger;FJONG;3 - Good condition;;2300;550.0;False
2023-09-15;outfit.1198ce35faff4d8b877faba218a75680;Blossom Embroidery Embellished Tunic;SoyaAulait;Soyaaulait;3 - Good condition;;2000;500.0;False
2023-05-15;outfit.1198ce35faff4d8b877faba218a75680;Blossom Embroidery Embellished Tunic;SoyaAulait;Soyaaulait;3 - Good condition;;2300;600.0;False
2024-01-25;outfit.12777bb9bd1e40eea12a257de5d9d32d;Wilma Blouse;Britt Sisseck;Høyer;5 - Damaged;Utvaskset, strykemerke med hull høyre side nederst.;1800;;False
2022-07-08;outfit.12852c024f984b2998c4f3969d664d88;Dotted Rust Top;Diane Von Fürstenberg;Høyer;2 - Very good condition;;5200;1499.0;False
2023-12-12;outfit.12c32249479548ebabd4d776138873fd;L Bente Jet Stream White ;FWSS;FWSS;2 - Very good condition;;2600;800.0;False
2023-01-10;outfit.12cf865f9ba1407e9a08ec1df40a58d6;L Double Cuff White Button-Up;Aris;For Ynde;2 - Very good condition;;2300;450.0;False
;outfit.1378c78099224f24a8b3cf7007cdb4d5;XS Zip Up Lace Top White;MAUD;FJONG;5 - Damaged;stor flekk på rygg. ;;;False
;outfit.13b4586fba46462abebff1b7b145e499;L Alinka Martini Oliva Dress;Untold Stories;FJONG;2 - Very good condition;;2600;550.0;False
2023-05-15;outfit.13df7ddb6fb6435ba54b025aa6a57804;Blossom Embroidery Summer Coat;SoyaAulait;Soyaaulait;2 - Very good condition;pensjonert pga salgsdag;3400;1100.0;False
2024-01-25;outfit.13e5c7e0037f485db252abd2d7ec9e79;Isadora Top Yellow Adele Floral Print;Faithfull The Brand;Den Dama;3 - Good condition;;2200;599.0;False
2022-08-30;outfit.142bb41b42464fbf8e7b54e21d9ac3c4;Turf Green Dharma Skirt;By Malene Birger;FJONG;5 - Damaged;;2900;700.0;True
2022-08-16;outfit.1431039944fe4be88f8890a04a346b09;S Kitty Ponderosa Pine Dress;FWSS;FJONG;2 - Very good condition;;5200;1499.0;False
2023-10-31;outfit.14727804dc6945f9baabcd76ad96a744;Turf Green Donella Blazer;By Malene Birger;FJONG;4 - Minor defects;Hemper bak i nakke er godt brukt, halsutrigningen har utvidet seg noe;2000;600.0;True
2022-08-30;outfit.1507c18a72e34435a790eae1b878aa86;Sky Captain Wave Knit Top;MAUD;Høyer;4 - Minor defects;Flekk på hvit stripe;5300;1590.0000000000005;False
2023-01-12;outfit.150ea04dfe684f8aacffdaf604ed3120;XS Blue Prestina Pants;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;Flekker som ikke går bort. ;6000;1200.0;False
2024-01-25;outfit.15446bc8b1b143bb8c7f8366923d578d;1 White Jacquard Top;By Malene Birger;Høyer;4 - Minor defects;Flekk som ikke går bort;4500;1350.0;False
2023-05-15;outfit.154636a0114a4afeaefa0d2345ce2bed;XS Ceiling Block Print Aria Dress;Holzweiler;Holzweiler;4 - Minor defects;Slitt i ermet bak. syntes ikke så godt.;4200;1260.0;False
2024-01-25;outfit.15a09ec0aa3f41db855b6d598ed259e1;Orca Chiffon Top;By Malene Birger;Høyer;4 - Minor defects;Wear and Tear;4000;1299.0;True
2023-12-12;outfit.1642071c303e44a19ce63dfbbf8384bd;S The Rosalie Blazer;Bastet Noir;Bastet Noir;4 - Minor defects;Reparert nederst i glidelås, normal slitasje i stoff;1500;450.0;True
2023-09-19;outfit.165b95aa6e764d5280b1fa80bb7755c8;Blue Leona Tank Top;SOYAAULAIT;Soyaaulait;4 - Minor defects;Flekkete langs nedre kant, nupper i stoffet;1500;450.0;True
2022-06-10;outfit.165c8b5ec09b44d28fc8a4368e2b8082;L Light beige - Marais Blazer;ENVELOPE1976;Envelope 1976;4 - Minor defects;Flekkete langs nedre kant, nupper i stoffet;1500;450.0;True
2023-09-19;outfit.16a9ddab11bd4518897061d811316940;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;4 - Minor defects;Litt flekker langs nedre kant;1500;450.0;True
2023-10-31;outfit.16d88d0fdcb7455fb6a81ec2639afea9;Heaston Skirt Dusty Cedar;Samsøe & Samsøe;FJONG;4 - Minor defects;Flekk;1300;600.0;True
